comentario,tokens_limpios,features
(Esta reseña se ha recibido a través de una promoción.) ¡Este protector solar me fascinó! Mi piel es propensa al acné y este protector no me deja la piel grasosa.,"['reseña', 'recibido', 'través', 'promoción', 'protector', 'solar', 'fascinó', 'piel', 'propensa', 'acné', 'protector', 'deja', 'piel', 'grasosa']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Me encantó la textura que tiene y el como es que humecta mi piel,"['reseña', 'recibido', 'través', 'promoción', 'encantó', 'textura', 'humecta', 'piel']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Una crema que no deja manchas del típico bloqueador “blanco” que puedes usar súper bien en toda tu cara por su consistencia.,"['reseña', 'recibido', 'través', 'promoción', 'crema', 'deja', 'manchas', 'típico', 'bloqueador', 'blanco', 'puedes', 'usar', 'súper', 'bien', 'toda', 'cara', 'consistencia']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) El mejor protector solar que e utilizado se volvió mi favorito, de verdad cómprenlo sus beneficios son increíbles y recuerda que el sol siempre está y con Nivea sun puedes protegerte de el.","['reseña', 'recibido', 'través', 'promoción', 'mejor', 'protector', 'solar', 'utilizado', 'volvió', 'favorito', 'verdad', 'cómprenlo', 'beneficios', 'increíbles', 'recuerda', 'sol', 'siempre', 'nivea', 'sun', 'puedes', 'protegerte']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Se volvió uno de mis protectores favoritos, no deja pesada la piel, no la deja brillosa y es muy cómodo de aplicar y reaplicar","['reseña', 'recibido', 'través', 'promoción', 'volvió', 'protectores', 'favoritos', 'deja', 'pesada', 'piel', 'deja', 'brillosa', 'cómodo', 'aplicar', 'reaplicar']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) No se siente pesado ni deja sensación grasosa además de que me encantó que es efecto matificante y me impresionó el que no deja manchas blancas ¡Es perfecto!,"['reseña', 'recibido', 'través', 'promoción', 'pesado', 'deja', 'sensación', 'grasosa', 'además', 'encantó', 'efecto', 'matificante', 'impresionó', 'deja', 'manchas', 'blancas', 'perfecto']",[0. 0. 0. ... 0. 0. 0.]
"Me encanto, es un textura súper ligera, huele súper delicioso!","['encanto', 'textura', 'súper', 'ligera', 'huele', 'súper', 'delicioso']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) me encanta este protector porque sufro de piel grasa y con este protector mi carita ya no se mira brillosa por grasa y queda perfectaaa,"['reseña', 'recibido', 'través', 'promoción', 'encanta', 'protector', 'sufro', 'piel', 'grasa', 'protector', 'carita', 'mira', 'brillosa', 'grasa', 'queda', 'perfectaaa']",[0. 0. 0. ... 0. 0. 0.]
Hace dos meses que empecé a usar este protector y realmente me gusta porque no deja sensación oleosa.,"['hace', 'dos', 'meses', 'empecé', 'usar', 'protector', 'realmente', 'gusta', 'deja', 'sensación', 'oleosa']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Súper ligero, no deja la piel grasosa, hidrata súper bien. Amo!","['reseña', 'recibido', 'través', 'promoción', 'súper', 'ligero', 'deja', 'piel', 'grasosa', 'hidrata', 'súper', 'bien', 'amo']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Es ligero y fácil de aplicar, no se pone pastoso o graso. Mi piel lo absorbe muy bien y no se siente pesado.","['reseña', 'recibido', 'través', 'promoción', 'ligero', 'fácil', 'aplicar', 'pone', 'pastoso', 'graso', 'piel', 'absorbe', 'bien', 'pesado']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Se siente tan ligera como una crema hidratante y a parte tiene alta protección me gustó mucho 10/10,"['reseña', 'recibido', 'través', 'promoción', 'tan', 'ligera', 'crema', 'hidratante', 'parte', 'alta', 'protección', 'gustó']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Me encantó sufro de súper piel grasosa y este protector me ha ayudado demasiado aparte mi piel está súper lisa lo amooo,"['reseña', 'recibido', 'través', 'promoción', 'encantó', 'sufro', 'súper', 'piel', 'grasosa', 'protector', 'ayudado', 'demasiado', 'aparte', 'piel', 'súper', 'lisa', 'amooo']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Cumple con todo lo que promete, era una persona que no utilizaba protector solar y ahora es un paso que no puede faltar en mi rutina","['reseña', 'recibido', 'través', 'promoción', 'cumple', 'promete', 'persona', 'utilizaba', 'protector', 'solar', 'ahora', 'paso', 'puede', 'faltar', 'rutina']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Me encanto la verdad es un excelente producto no deja mi piel grasosa y eso lo agradezco mucho💙,"['reseña', 'recibido', 'través', 'promoción', 'encanto', 'verdad', 'excelente', 'producto', 'deja', 'piel', 'grasosa', 'agradezco']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Maneja una textura ligera y agradable a la piel, verdaderamente me encanta es la segunda vez que lo uso y nunca me decepciona!.","['reseña', 'recibido', 'través', 'promoción', 'maneja', 'textura', 'ligera', 'agradable', 'piel', 'verdaderamente', 'encanta', 'segunda', 'vez', 'uso', 'nunca', 'decepciona']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Probé este protector facial por su FPS que es de rango alto, prometía un efecto mate al instante y totalmente fue cierto, lo que me hizo sentir bastante complacida desde el inicio. Huele bastante bien, la textura es ligera, no quedas pegajosa ni blanquecina, lo que lo hace aún más genial. Definitivamente es un producto que seguiré utilizando en mi rutina de skincare y también lo recomendaré con mis personas cercanas.","['reseña', 'recibido', 'través', 'promoción', 'probé', 'protector', 'facial', 'fps', 'rango', 'alto', 'prometía', 'efecto', 'mate', 'instante', 'totalmente', 'cierto', 'hizo', 'sentir', 'bastante', 'complacida', 'inicio', 'huele', 'bastante', 'bien', 'textura', 'ligera', 'quedas', 'pegajosa', 'blanquecina', 'hace', 'aún', 'genial', 'definitivamente', 'producto', 'seguiré', 'utilizando', 'rutina', 'skincare', 'recomendaré', 'personas', 'cercanas']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) el producto es increíble, mi piel es grasosa por lo cual es súper brillosa pero este bloqueador me ah ayudado mucho con ese problema, además desde que lo empecé a usar personas cercanas a mi dicen que mi piel luce más sana y esto gracias a qué eh venido usando el protector solar de niveasun control brillo, chicas lo recomiendo no se van a repetir.","['reseña', 'recibido', 'través', 'promoción', 'producto', 'increíble', 'piel', 'grasosa', 'súper', 'brillosa', 'bloqueador', 'ah', 'ayudado', 'problema', 'además', 'empecé', 'usar', 'personas', 'cercanas', 'dicen', 'piel', 'luce', 'sana', 'gracias', 'eh', 'venido', 'usando', 'protector', 'solar', 'niveasun', 'control', 'brillo', 'chicas', 'recomiendo', 'van', 'repetir']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Ame que no tiene aroma ni deja grasosa la piel, no me sacó granitos y eso que soy de piel súper sensible","['reseña', 'recibido', 'través', 'promoción', 'ame', 'aroma', 'deja', 'grasosa', 'piel', 'sacó', 'granitos', 'piel', 'súper', 'sensible']",[0. 0. 0. ... 0. 0. 0.]
"Tengo tiempo utilizando los Protectores solares de Nívea, y nunca me fallan, la consistencia es ligera y se absorben rápido.","['tiempo', 'utilizando', 'protectores', 'solares', 'nívea', 'nunca', 'fallan', 'consistencia', 'ligera', 'absorben', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
Me encanta el acabado de verdad deja tu piel casi Matte al instante además dura muchas horas y no nada pesado y no saca granitos.,"['encanta', 'acabado', 'verdad', 'deja', 'piel', 'casi', 'matte', 'instante', 'además', 'dura', 'muchas', 'horas', 'pesado', 'saca', 'granitos']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me gusta que al venir espeso aplico una cantidad un poco menor,u una vez que se absorbe bien se queda mate mucho tiempo,y en la re aplicación es muy cómodo de hacer, solo no apliques de más oara evitar rollitos.","['reseña', 'recibido', 'través', 'promoción', 'gusta', 'venir', 'espeso', 'aplico', 'cantidad', 'menoru', 'vez', 'absorbe', 'bien', 'queda', 'mate', 'tiempoy', 're', 'aplicación', 'cómodo', 'hacer', 'solo', 'apliques', 'oara', 'evitar', 'rollitos']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me gusto que esta alcance de todos, fácil de comprar, me gusta su fórmula ligera y nada grasosa, la piel se siente muy hidratada, puede ser para todo tipo de piel, ideal para usarlo en familia! Sin duda lo vuelvo a buscar !","['reseña', 'recibido', 'través', 'promoción', 'gusto', 'alcance', 'fácil', 'comprar', 'gusta', 'fórmula', 'ligera', 'grasosa', 'piel', 'hidratada', 'puede', 'ser', 'tipo', 'piel', 'ideal', 'usarlo', 'familia', 'duda', 'vuelvo', 'buscar']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Es un super producto si tu tienes la piel grasa ya que cubre perfectamente del sol y no deja sensación grasosa en la piel.,"['reseña', 'recibido', 'través', 'promoción', 'super', 'producto', 'si', 'piel', 'grasa', 'cubre', 'perfectamente', 'sol', 'deja', 'sensación', 'grasosa', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me gusto su textura al igual del color, pero no el olor, no sé si ami me llego así el protector solar .","['reseña', 'recibido', 'través', 'promoción', 'gusto', 'textura', 'igual', 'color', 'olor', 'sé', 'si', 'ami', 'llego', 'así', 'protector', 'solar']",[0. 0. 0. ... 0. 0. 0.]
para mi piel que es mixta no deja para nada mi piel grasosa es de textura lijera,"['piel', 'mixta', 'deja', 'piel', 'grasosa', 'textura', 'lijera']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Me encantó! La consistencia no se siente pesada como normalmente son los protectores. Sin duda lo tengo que adquirir de nuevo ! Recomendado mil,"['reseña', 'recibido', 'través', 'promoción', 'encantó', 'consistencia', 'pesada', 'normalmente', 'protectores', 'duda', 'adquirir', 'nuevo', 'recomendado', 'mil']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Es un protector demasiado ligero, mi piel se siente más suave, y no deja sensación grasosa, lo amé.","['reseña', 'recibido', 'través', 'promoción', 'protector', 'demasiado', 'ligero', 'piel', 'suave', 'deja', 'sensación', 'grasosa', 'amé']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Me encanto el producto en general y la eficacia qué tiene ❤🌞🔥,"['reseña', 'recibido', 'través', 'promoción', 'encanto', 'producto', 'general', 'eficacia']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encanta este protector solar! Es el que uso diariamente. Su textura es ligera y no deja la cara brillosa, ayuda a controlar el brillo y se absorbe rapidamente. Yo tengo piel mixta y me ha funcionado super bien este protector solar.","['reseña', 'recibido', 'través', 'promoción', 'encanta', 'protector', 'solar', 'uso', 'diariamente', 'textura', 'ligera', 'deja', 'cara', 'brillosa', 'ayuda', 'controlar', 'brillo', 'absorbe', 'rapidamente', 'piel', 'mixta', 'funcionado', 'super', 'bien', 'protector', 'solar']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) La textura de este producto es más que buena, me encanta","['reseña', 'recibido', 'través', 'promoción', 'textura', 'producto', 'buena', 'encanta']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me gusta mucho la sensación que deja en la piel, no es grasoso y ayuda a que se vea menos brillosa, se absorbe rapidísimo","['reseña', 'recibido', 'través', 'promoción', 'gusta', 'sensación', 'deja', 'piel', 'grasoso', 'ayuda', 'vea', 'menos', 'brillosa', 'absorbe', 'rapidísimo']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Sinceramente consideraba no salir de casa para evitar los daños que últimamente se sienten al estar bajo el sol, pero con Nivea definitivamente me siento protegida, me gusta mucho la textura que deja en mi piel y el control de brillo que tiene, ayuda bastante en esos días calurosos","['reseña', 'recibido', 'través', 'promoción', 'sinceramente', 'consideraba', 'salir', 'casa', 'evitar', 'daños', 'últimamente', 'sienten', 'bajo', 'sol', 'nivea', 'definitivamente', 'siento', 'protegida', 'gusta', 'textura', 'deja', 'piel', 'control', 'brillo', 'ayuda', 'bastante', 'días', 'calurosos']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) La verdad me ah encantado ente producto de nive ya que yo estoy muy expuesta al sol por mi trabajo este bloqueador me ayuda mucho además de que es una larga duración me encanta que adapta perfecto a mi tono de piel , sin duda lo recomiendo muchísimo.","['reseña', 'recibido', 'través', 'promoción', 'verdad', 'ah', 'encantado', 'ente', 'producto', 'nive', 'expuesta', 'sol', 'trabajo', 'bloqueador', 'ayuda', 'además', 'larga', 'duración', 'encanta', 'adapta', 'perfecto', 'tono', 'piel', 'duda', 'recomiendo', 'muchísimo']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Amo que Nivea se preocupe por cuidar la piel, y este tiene textura muy ligera y FPS alto","['reseña', 'recibido', 'través', 'promoción', 'amo', 'nivea', 'preocupe', 'cuidar', 'piel', 'textura', 'ligera', 'fps', 'alto']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encantó el protector solar control brillo, porque al contacto con mi piel mixta se siente super fresco humecta pero sin dejar sensación grasosa, amamos!!","['reseña', 'recibido', 'través', 'promoción', 'encantó', 'protector', 'solar', 'control', 'brillo', 'contacto', 'piel', 'mixta', 'super', 'fresco', 'humecta', 'dejar', 'sensación', 'grasosa', 'amamos']",[0. 0. 0. ... 0. 0. 0.]
"Es un super protector, me encanta su efecto matificante y su sensación ligera, ideal para piel grasa!","['super', 'protector', 'encanta', 'efecto', 'matificante', 'sensación', 'ligera', 'ideal', 'piel', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) es un producto muy bueno, se convirtió en un imprescindible de mi rutina, la duración es muy buena y su consistencia en muy cómoda, me encantó mucho el producto","['reseña', 'recibido', 'través', 'promoción', 'producto', 'bueno', 'convirtió', 'imprescindible', 'rutina', 'duración', 'buena', 'consistencia', 'cómoda', 'encantó', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta como controla el brillo al instante y deja la piel super suave y su protección es 10/10, lo utiliza para los brazos y cuello y si me protege super bien 🫶","['encanta', 'controla', 'brillo', 'instante', 'deja', 'piel', 'super', 'suave', 'protección', 'utiliza', 'brazos', 'cuello', 'si', 'protege', 'super', 'bien']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encanta la facilidad con la que se aplica este protector; la manera como humecta la piel y al mismo tiempo la protege, definitivamente es accesible para el público y vale la pena la calidad","['reseña', 'recibido', 'través', 'promoción', 'encanta', 'facilidad', 'aplica', 'protector', 'manera', 'humecta', 'piel', 'mismo', 'tiempo', 'protege', 'definitivamente', 'accesible', 'público', 'vale', 'pena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Llevo más de un mes usando este bloqueador y debo confesar que regularmente algo de lo que no me gusta de algunos bloqueadores es la sensación grososa que dejan sobre la piel y con este producto de Nivea no sentí para nada eso, realmente cumple con su función anti brillo y deja un efecto mate 100/10","['reseña', 'recibido', 'través', 'promoción', 'llevo', 'mes', 'usando', 'bloqueador', 'debo', 'confesar', 'regularmente', 'gusta', 'bloqueadores', 'sensación', 'grososa', 'dejan', 'piel', 'producto', 'nivea', 'sentí', 'realmente', 'cumple', 'función', 'anti', 'brillo', 'deja', 'efecto', 'mate']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encantó! Es un FPS súper ligero, se adapta maravillosamente a la piel, no se siente para nada pesado ni grasoso, me ha ayudado muchísimo en estos días de calor ! Es lo máximo máximo, me encanta Nivea","['reseña', 'recibido', 'través', 'promoción', 'encantó', 'fps', 'súper', 'ligero', 'adapta', 'maravillosamente', 'piel', 'pesado', 'grasoso', 'ayudado', 'muchísimo', 'días', 'calor', 'máximo', 'máximo', 'encanta', 'nivea']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Recomendado al 100 para los días de playita y uso diario, ligero y pequeño para cargar contigo, color que se disuelve muy bien en tu carita, humectante 🧴","['reseña', 'recibido', 'través', 'promoción', 'recomendado', 'días', 'playita', 'uso', 'diario', 'ligero', 'pequeño', 'cargar', 'contigo', 'color', 'disuelve', 'bien', 'carita', 'humectante']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Mi piel es grasa y he probado diversos protectores solares los cuales no me han resultado del todo bien, recientemente probé este protector solar de NIVEA y mi piel quedó mate y bien protegida además de que es el primero que no me deja sensación grasosa, se absorbe rápido e hidrata muy bien","['reseña', 'recibido', 'través', 'promoción', 'piel', 'grasa', 'probado', 'diversos', 'protectores', 'solares', 'cuales', 'resultado', 'bien', 'recientemente', 'probé', 'protector', 'solar', 'nivea', 'piel', 'quedó', 'mate', 'bien', 'protegida', 'además', 'primero', 'deja', 'sensación', 'grasosa', 'absorbe', 'rápido', 'hidrata', 'bien']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Verdaderamente su acabado es ligero y mate, huele muy bien, no huele a bloqueador solar, aparte que ayuda a controlar la grasa sin secar, me gustó mucho que es fácil de aplicar y pude usarlo con mi novio y hermanita","['reseña', 'recibido', 'través', 'promoción', 'verdaderamente', 'acabado', 'ligero', 'mate', 'huele', 'bien', 'huele', 'bloqueador', 'solar', 'aparte', 'ayuda', 'controlar', 'grasa', 'secar', 'gustó', 'fácil', 'aplicar', 'pude', 'usarlo', 'novio', 'hermanita']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encanta este bloqueador, soy de piel grasa y es el único que de verdad me ayuda a controlar el brillo, aparte de que también hidrata la piel y protege de luz azul y no arden los ojos , lo recomiendo demasiado 🤍✨","['reseña', 'recibido', 'través', 'promoción', 'encanta', 'bloqueador', 'piel', 'grasa', 'único', 'verdad', 'ayuda', 'controlar', 'brillo', 'aparte', 'hidrata', 'piel', 'protege', 'luz', 'azul', 'arden', 'ojos', 'recomiendo', 'demasiado']",[0.         0.         0.         ... 0.         0.22235032 0.        ]
"(Esta reseña se ha recibido a través de una promoción.) Me encanto la textura que tiene, se absorbe super bien en la piel y deja una sensacion increible! Definitivamente un gran bloqueador","['reseña', 'recibido', 'través', 'promoción', 'encanto', 'textura', 'absorbe', 'super', 'bien', 'piel', 'deja', 'sensacion', 'increible', 'definitivamente', 'gran', 'bloqueador']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encantó, tiene una sensación ligera y me ha ayudado a mejorar mi piel","['reseña', 'recibido', 'través', 'promoción', 'encantó', 'sensación', 'ligera', 'ayudado', 'mejorar', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Mi piel mixta lo está amando! No me produce más brillo, no me deja sensación grasosa y no me hace rollitos o deja manchas blancas en mi piel","['reseña', 'recibido', 'través', 'promoción', 'piel', 'mixta', 'amando', 'produce', 'brillo', 'deja', 'sensación', 'grasosa', 'hace', 'rollitos', 'deja', 'manchas', 'blancas', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encanta este protector, aparte que es una opción económica se adapta muy bien a las necesidades de mi piel grasa, sin duda seguiré usándolo !","['reseña', 'recibido', 'través', 'promoción', 'encanta', 'protector', 'aparte', 'opción', 'económica', 'adapta', 'bien', 'necesidades', 'piel', 'grasa', 'duda', 'seguiré', 'usándolo']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encantó este protector solar, al tener piel grasa este protector se adapta a mi piel y no deja una consistencia grasosa, es muy ligero y t cuenta con una muy buena protección","['reseña', 'recibido', 'través', 'promoción', 'encantó', 'protector', 'solar', 'tener', 'piel', 'grasa', 'protector', 'adapta', 'piel', 'deja', 'consistencia', 'grasosa', 'ligero', 't', 'cuenta', 'buena', 'protección']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Probé el NIVEA SUN control brillo y me encantó todo, la textura, el olor, la sensación, y siempre he confiado en que Nivea hace productos de alta calidad. Así que no dudo de su eficacia.","['reseña', 'recibido', 'través', 'promoción', 'probé', 'nivea', 'sun', 'control', 'brillo', 'encantó', 'textura', 'olor', 'sensación', 'siempre', 'confiado', 'nivea', 'hace', 'productos', 'alta', 'calidad', 'así', 'dudo', 'eficacia']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encanta que además de proteger del sol ayude a combatir los signos de la edad sin sensación grasosa, no se siente pesado ni la cara blanca","['reseña', 'recibido', 'través', 'promoción', 'encanta', 'además', 'proteger', 'sol', 'ayude', 'combatir', 'signos', 'edad', 'sensación', 'grasosa', 'pesado', 'cara', 'blanca']",[0. 0. 0. ... 0. 0. 0.]
(Esta reseña se ha recibido a través de una promoción.) Conocí este bloqueador cuando estaba la pandemia al full y me lo ponía mucho porque descubrí que también la luz de la computadora y de mi ventanita me afectaba entonces lo amo desde ahí y no dejo de usarlo.,"['reseña', 'recibido', 'través', 'promoción', 'conocí', 'bloqueador', 'pandemia', 'full', 'ponía', 'descubrí', 'luz', 'computadora', 'ventanita', 'afectaba', 'entonces', 'amo', 'ahí', 'dejo', 'usarlo']",[0. 0. 0. ... 0. 0. 0.]
Me encantó este protector solar facial porque es ligero no grasoso y protege mi piel de los rayos UVA y UVB es una gran opción para piel mixta y grasa,"['encantó', 'protector', 'solar', 'facial', 'ligero', 'grasoso', 'protege', 'piel', 'rayos', 'uva', 'uvb', 'gran', 'opción', 'piel', 'mixta', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) LA TEXTURA ES MUY LIGERA, MI PIEL LO ACEPTÓ SUPER BIEN Y A UN UY BUEN PRECIO","['reseña', 'recibido', 'través', 'promoción', 'textura', 'ligera', 'piel', 'aceptó', 'super', 'bien', 'uy', 'buen', 'precio']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Me encantó este protector solar es muy práctico y d muy ligerita textura, huele riquísimo y se absorbe rápidamente en mi piel , ahora lo recomiendo xq yo volvería a comprarlo 🥰","['reseña', 'recibido', 'través', 'promoción', 'encantó', 'protector', 'solar', 'práctico', 'd', 'ligerita', 'textura', 'huele', 'riquísimo', 'absorbe', 'rápidamente', 'piel', 'ahora', 'recomiendo', 'xq', 'volvería', 'comprarlo']",[0. 0. 0. ... 0. 0. 0.]
"De verdad que este protector solar lo amo, el precio es súper accesible y yo que tengo piel grasa le va muy bien a mi piel, se absorbe súper rápido y no deja ninguna capa blanca en la piel. Simplemente es de mi protectores solares favorito 💖","['verdad', 'protector', 'solar', 'amo', 'precio', 'súper', 'accesible', 'piel', 'grasa', 'va', 'bien', 'piel', 'absorbe', 'súper', 'rápido', 'deja', 'ninguna', 'capa', 'blanca', 'piel', 'simplemente', 'protectores', 'solares', 'favorito']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) A mi me gustó mucho, siento que te hidrata la piel y no tiene una sensación pesada, de hecho te deja la piel sintiéndose como terciopelo. Considero que es muy bueno para usarlo antes del maquillaje, yo no he tenido ningún problema con él.","['reseña', 'recibido', 'través', 'promoción', 'gustó', 'siento', 'hidrata', 'piel', 'sensación', 'pesada', 'hecho', 'deja', 'piel', 'sintiéndose', 'terciopelo', 'considero', 'bueno', 'usarlo', 'maquillaje', 'ningún', 'problema']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) El Bloquedor Control Brillo con color tono medio me gustó mucho porque es de mi tono de piel, luce muy natural, mantiene mi piel masificada y además me protege del sol.","['reseña', 'recibido', 'través', 'promoción', 'bloquedor', 'control', 'brillo', 'color', 'tono', 'medio', 'gustó', 'tono', 'piel', 'luce', 'natural', 'mantiene', 'piel', 'masificada', 'además', 'protege', 'sol']",[0. 0. 0. ... 0. 0. 0.]
"Amo lo bien que controla el brillo en la cara, huele riquísimo y dura batbte. La textura es espectacular","['amo', 'bien', 'controla', 'brillo', 'cara', 'huele', 'riquísimo', 'dura', 'batbte', 'textura', 'espectacular']",[0. 0. 0. ... 0. 0. 0.]
"(Esta reseña se ha recibido a través de una promoción.) Bueno, hablando de este protector solar, la verdad si me gusto, sin embargo yo como tengo la piel mixta, este protector de piel sencible lo senti un poco grasoso... por lo que en mi no me gusto, no me sirvio a mi... mas bien, mi pareja es piel seca, por lo que este protector le funciono geniaal. si lo recomendamos a las personas que tengan piel sencible","['reseña', 'recibido', 'través', 'promoción', 'bueno', 'hablando', 'protector', 'solar', 'verdad', 'si', 'gusto', 'embargo', 'piel', 'mixta', 'protector', 'piel', 'sencible', 'senti', 'grasoso', 'gusto', 'sirvio', 'mas', 'bien', 'pareja', 'piel', 'seca', 'protector', 'funciono', 'geniaal', 'si', 'recomendamos', 'personas', 'piel', 'sencible']",[0. 0. 0. ... 0. 0. 0.]
"Hace match con todos mis productos Nivea, me encanta que no se siente grasoso y queda súper bien en mi preparación de piel para antes de maquillarme! Mil estrellas!!","['hace', 'match', 'productos', 'nivea', 'encanta', 'grasoso', 'queda', 'súper', 'bien', 'preparación', 'piel', 'maquillarme', 'mil', 'estrellas']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta Nivea Sun, deja mi piel tersa y sin brillo, nada pegajosa, la textura de mi piel se ve increíble, me protege e hidrata 2 en 1","['encanta', 'nivea', 'sun', 'deja', 'piel', 'tersa', 'brillo', 'pegajosa', 'textura', 'piel', 've', 'increíble', 'protege', 'hidrata']",[0. 0. 0. ... 0. 0. 0.]
me encanto es ligero para nada pesado deja um glow super hermoso en la piel,"['encanto', 'ligero', 'pesado', 'deja', 'um', 'glow', 'super', 'hermoso', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"El producto cumple su función y con todo lo que promete, es ligero y matifica la piel, es muy suave la textura","['producto', 'cumple', 'función', 'promete', 'ligero', 'matifica', 'piel', 'suave', 'textura']",[0. 0. 0. ... 0. 0. 0.]
"El producto cumple con lo que promete, Ame la textura que deja en la piel y lo ligera que es la formula","['producto', 'cumple', 'promete', 'ame', 'textura', 'deja', 'piel', 'ligera', 'formula']",[0. 0. 0. ... 0. 0. 0.]
"Me gusta que deja mi piel mate, al mismo tiempo que protege mi piel de los rayos solares, soy piel mixta.","['gusta', 'deja', 'piel', 'mate', 'mismo', 'tiempo', 'protege', 'piel', 'rayos', 'solares', 'piel', 'mixta']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó la textura, no deja la piel grasosa, lo que más me gustó es que lo puedes qplicar alrededor de los ojos y no te irrita. Da muy buena protección!! Estoy encantada.","['encantó', 'textura', 'deja', 'piel', 'grasosa', 'gustó', 'puedes', 'qplicar', 'alrededor', 'ojos', 'irrita', 'da', 'buena', 'protección', 'encantada']",[0. 0. 0. ... 0. 0. 0.]
